Rank,City Name,Country
1,Hong Kong,China
2,Bangkok,Thailand
3,London,England
4,Singapore,Singapore
5,Macau,China
6,Dubai,United Arab Emirates
7,Paris,France
8,New York,USA
9,Shenzhen,China
10,Kuala Lumpur,Kuala Lumpur
11,Phuket,Thailand
12,Rome,Italy
13,Tokyo,Japan
14,Taipei,Taipei
15,Istanbul,Turkey
16,Seoul,South Korea
17,Guangzhou,China
18,Prague,Czech Republic
19,Mecca,Saudi Arabia
20,Miami,USA
21,Delhi,India
22,Mumbai,India
23,Barcelona,Spain
24,Pattaya,Thailand
25,Shanghai,China
26,Las Vegas,USA
27,Milan,Spain
28,Amsterdam,Netherlands
29,Antalya,Turkey
30,Vienna,Italy
31,Los Angeles,USA
32,Cancun,Mexico
33,Osaka,Japan
34,Berlin,Germany
35,Agra,India
36,Ho Chi Minh City,Vietnam
37,Johannesburg,South Africa
38,Venice,Italy
39,Madrid,Spain
40,Orlando,USA
41,Riyadh,Saudi Arabia
42,Johor Bahru,Malaysia
43,Dublin,Ireland
44,Florence,Italy
45,Chennai,India
46,Moscow,Russia
47,Athens,Greece
48,Jaipur,India
49,Beijing,China
50,Denpasar,Indonesia
51,Toronto,Canada
52,Hanoi,Vietnam
53,Sydney,Australia
54,San Fransisco,USA
55,Budapest,Hungary
56,Ha Long Bay,Vietnam
57,Punta Cana,Domican Republic
58,Dammam,Saudi Arabia
59,Munich,Germany
60,Zahedan,Iran
61,Lisbon,Portugal
62,Penang,Malaysia
63,Doha,Qatar
64,Copenhagen,Denmark
65,Heraklion,Greece
66,Jerusalem,Israel 
67,Edirne,Turkey
68,Phnom Penh,Cambodia
69,St. Petersburg,USA
70,Jeju,South Korea
71,Kyoto,Japan
72,Chiang Mai,Thailand
73,Warsaw,Poland
74,Krakow,Poland
75,Honolulu,USA
76,Melbourne,Australia
77,Tel Aviv,Israel 
78,Marrakech,Morocco
79,Brussels,Belgium
80,Auckland,New Zealand
81,Vancouver,Canada
82,Jakarta,Indonesia
83,Frankfurt,Germany
84,Artvin,Turkey
85,Guilin,China
86,Stockholm,Sweden
87,Rio,Brazil 
88,Kolkata,India
89,Buenos Aires,Argentina
90,Nokogiriyama,Chiba
91,Siem Reap,Cambodia
92,Nice, Alpes-Maritimes 
93,Mexico City,Mexico
94,Lima,Peru
95,Montreal,Canada
96,Taichung,Taiwan
97,Rhodes,Greece
98,Abu Dhabi,United Arab Emirates
99,Colombo,Sri Lanka
100,Washington DC,USA
