Rank,City Name,Country,lat,long
1,Hong Kong,China,22.350627,114.1849161
2,Bangkok,Thailand,13.7244327,100.6033853
3,London,England,51.5073219,-0.1276474
4,Singapore,Singapore,1.2904753,103.8520359
5,Macau,China,22.1757605,113.5514142
6,Dubai,United Arab Emirates,25.0750095,55.1887609
7,Paris,France,48.8566969,2.3514616
8,New York,USA,40.7127281,-74.0060152
9,Shenzhen,China,22.5445697,114.0545346
10,Kuala Lumpur,Kuala Lumpur,3.1587981,101.6943774
11,Phuket,Thailand,7.9366015,98.3529292
12,Rome,Italy,41.894802,12.4853384
13,Tokyo,Japan,35.6828387,139.7594549
14,Taipei,Taipei,25.0375198,121.5636796
15,Istanbul,Turkey,41.0096334,28.9651646
16,Seoul,South Korea,37.5666791,126.9782914
17,Guangzhou,China,23.1301964,113.2592945
18,Prague,Czech Republic,50.0874654,14.4212535
19,Mecca,Saudi Arabia,21.420847,39.826869
20,Miami,USA,25.7742658,-80.1936589
21,Delhi,India,28.6517178,77.2219388
22,Mumbai,India,18.9387711,72.8353355
23,Barcelona,Spain,41.3828939,2.1774322
24,Pattaya,Thailand,12.9318593,100.9006905
25,Shanghai,China,31.2252985,121.4890497
26,Las Vegas,USA,36.1672559,-115.1485163
27,Milan,Spain,43.3673377,-5.8418533
28,Amsterdam,Netherlands,52.3745403,4.8979755
29,Antalya,Turkey,36.9009641,30.6954846
30,Vienna,Italy,45.4350269,10.9858699
31,Los Angeles,USA,34.0536909,-118.2427666
32,Cancun,Mexico,21.1617854,-86.8510468
33,Osaka,Japan,34.6937569,135.5014539
34,Berlin,Germany,52.5170365,13.3888599
35,Agra,India,27.1752554,78.0098161
36,Ho Chi Minh City,Vietnam,10.6497452,106.7619794
37,Johannesburg,South Africa,-26.205,28.049722
38,Venice,Italy,45.4371908,12.3345898
39,Madrid,Spain,40.4167047,-3.7035825
40,Orlando,USA,28.5421097,-81.3790388
41,Riyadh,Saudi Arabia,24.6319692,46.7150648
42,Johor Bahru,Malaysia,1.4953041,103.7550839
43,Dublin,Ireland,53.3497645,-6.2602732
44,Florence,Italy,43.7698712,11.2555757
45,Chennai,India,13.0801721,80.2838331
46,Moscow,Russia,55.7504461,37.6174943
47,Athens,Greece,37.9841493,23.7279843
48,Jaipur,India,26.916194,75.820349
49,Beijing,China,39.906217,116.3912757
50,Denpasar,Indonesia,-8.6524973,115.2191175
51,Toronto,Canada,43.653963,-79.387207
52,Hanoi,Vietnam,21.0294498,105.8544441
53,Sydney,Australia,-33.8548157,151.2164539
54,San Fransisco,USA,35.1814479,-111.6566632
55,Budapest,Hungary,47.4983815,19.0404707
56,Ha Long Bay,Vietnam,20.9528365,107.0800003
57,Punta Cana,Domican Republic,37.12005,-93.48019
58,Dammam,Saudi Arabia,26.4367824,50.1039991
59,Munich,Germany,48.1371079,11.5753822
60,Zahedan,Iran,29.4928874,60.8503017
61,Lisbon,Portugal,38.7077507,-9.1365919
62,Penang,Malaysia,5.3539794,100.4573464
63,Doha,Qatar,25.2856329,51.5264162
64,Copenhagen,Denmark,55.6867243,12.5700724
65,Heraklion,Greece,35.3400127,25.1343475
66,Jerusalem,Israel ,31.778345,35.2250786
67,Edirne,Turkey,41.6759327,26.5587225
68,Phnom Penh,Cambodia,11.568271,104.9224426
69,St. Petersburg,USA,27.7703796,-82.6695085
70,Jeju,South Korea,33.3939924,126.5626653
71,Kyoto,Japan,35.021041,135.7556075
72,Chiang Mai,Thailand,18.790876,98.988048
73,Warsaw,Poland,52.2319237,21.0067265
74,Krakow,Poland,50.0619474,19.9368564
75,Honolulu,USA,21.3250785,-157.8466442
76,Melbourne,Australia,-37.8142176,144.9631608
77,Tel Aviv,Israel ,32.0804808,34.7805274
78,Marrakech,Morocco,31.6258257,-7.9891608
79,Brussels,Belgium,50.8465573,4.351697
80,Auckland,New Zealand,-36.852095,174.7631803
81,Vancouver,Canada,49.2608724,-123.1139529
82,Jakarta,Indonesia,-6.1753942,106.827183
83,Frankfurt,Germany,50.1106444,8.6820917
84,Artvin,Turkey,41.160506,41.8398627
85,Guilin,China,25.2777506,110.291804
86,Stockholm,Sweden,59.3251172,18.0710935
87,Rio,Brazil ,-22.9110137,-43.2093727
88,Kolkata,India,22.5677459,88.3476023
89,Buenos Aires,Argentina,-34.6075682,-58.4370894
90,Nokogiriyama,Chiba,35.1585708,139.828853
91,Siem Reap,Cambodia,13.3617562,103.8590321
92,Nice, Alpes-Maritimes ,43.7009358,7.2683912
93,Mexico City,Mexico,19.4326009,-99.1333416
94,Lima,Peru,-12.0621065,-77.0365256
95,Montreal,Canada,45.4972159,-73.6103642
96,Taichung,Taiwan,24.163162,120.6478282
97,Rhodes,Greece,36.4379874,28.2233083
98,Abu Dhabi,United Arab Emirates,23.9976444,53.6439098
99,Colombo,Sri Lanka,6.9349969,79.8538463
100,Washington DC,USA,38.8948932,-77.0365529
