Direct,MinPrice,OutboundLeg,QuoteDateTime,QuoteId,CarrierIds,DepartureDate,DestinationId,OriginId
False,1070.0,"{'CarrierIds': [988], 'OriginId': 40924, 'DestinationId': 56615, 'DepartureDate': '2019-12-07T00:00:00'}",2019-07-23T03:44:00,1,[988],2019-12-07T00:00:00,56615,40924
False,577.0,"{'CarrierIds': [851], 'OriginId': 40924, 'DestinationId': 56615, 'DepartureDate': '2019-12-10T00:00:00'}",2019-07-25T13:54:00,2,[851],2019-12-10T00:00:00,56615,40924
False,1634.0,"{'CarrierIds': [1276], 'OriginId': 40924, 'DestinationId': 56615, 'DepartureDate': '2019-12-13T00:00:00'}",2019-07-22T03:16:00,3,[1276],2019-12-13T00:00:00,56615,40924
False,1687.0,"{'CarrierIds': [1276], 'OriginId': 40924, 'DestinationId': 56615, 'DepartureDate': '2019-12-14T00:00:00'}",2019-07-23T03:45:00,4,[1276],2019-12-14T00:00:00,56615,40924
False,991.0,"{'CarrierIds': [870], 'OriginId': 40924, 'DestinationId': 56615, 'DepartureDate': '2019-12-17T00:00:00'}",2019-07-19T14:42:00,5,[870],2019-12-17T00:00:00,56615,40924
False,841.0,"{'CarrierIds': [1065], 'OriginId': 40924, 'DestinationId': 56615, 'DepartureDate': '2019-12-18T00:00:00'}",2019-07-25T03:40:00,6,[1065],2019-12-18T00:00:00,56615,40924
False,1047.0,"{'CarrierIds': [952], 'OriginId': 40924, 'DestinationId': 56615, 'DepartureDate': '2019-12-19T00:00:00'}",2019-07-19T14:44:00,7,[952],2019-12-19T00:00:00,56615,40924
False,1045.0,"{'CarrierIds': [952], 'OriginId': 40924, 'DestinationId': 56615, 'DepartureDate': '2019-12-20T00:00:00'}",2019-07-21T01:59:00,8,[952],2019-12-20T00:00:00,56615,40924
False,1668.0,"{'CarrierIds': [833], 'OriginId': 40924, 'DestinationId': 56615, 'DepartureDate': '2019-12-21T00:00:00'}",2019-07-23T13:05:00,9,[833],2019-12-21T00:00:00,56615,40924
False,846.0,"{'CarrierIds': [835], 'OriginId': 40924, 'DestinationId': 56615, 'DepartureDate': '2019-12-23T00:00:00'}",2019-07-25T02:02:00,10,[835],2019-12-23T00:00:00,56615,40924
False,692.0,"{'CarrierIds': [835], 'OriginId': 40924, 'DestinationId': 56615, 'DepartureDate': '2019-12-27T00:00:00'}",2019-07-19T14:48:00,11,[835],2019-12-27T00:00:00,56615,40924
False,1630.0,"{'CarrierIds': [1276], 'OriginId': 40924, 'DestinationId': 56615, 'DepartureDate': '2019-12-29T00:00:00'}",2019-07-20T14:46:00,12,[1276],2019-12-29T00:00:00,56615,40924
False,1570.0,"{'CarrierIds': [1276], 'OriginId': 40924, 'DestinationId': 56615, 'DepartureDate': '2019-12-30T00:00:00'}",2019-07-20T14:46:00,13,[1276],2019-12-30T00:00:00,56615,40924
False,648.0,"{'CarrierIds': [1755], 'OriginId': 40924, 'DestinationId': 42795, 'DepartureDate': '2019-12-01T00:00:00'}",2019-07-21T13:01:00,1,[1755],2019-12-01T00:00:00,42795,40924
False,737.0,"{'CarrierIds': [1276], 'OriginId': 40924, 'DestinationId': 42795, 'DepartureDate': '2019-12-02T00:00:00'}",2019-07-23T03:28:00,2,[1276],2019-12-02T00:00:00,42795,40924
False,555.0,"{'CarrierIds': [1324], 'OriginId': 40924, 'DestinationId': 42795, 'DepartureDate': '2019-12-03T00:00:00'}",2019-07-25T03:56:00,3,[1324],2019-12-03T00:00:00,42795,40924
False,737.0,"{'CarrierIds': [1276], 'OriginId': 40924, 'DestinationId': 42795, 'DepartureDate': '2019-12-04T00:00:00'}",2019-07-22T21:41:00,4,[1276],2019-12-04T00:00:00,42795,40924
False,651.0,"{'CarrierIds': [870], 'OriginId': 40924, 'DestinationId': 42795, 'DepartureDate': '2019-12-05T00:00:00'}",2019-07-19T12:25:00,5,[870],2019-12-05T00:00:00,42795,40924
False,810.0,"{'CarrierIds': [1276], 'OriginId': 40924, 'DestinationId': 42795, 'DepartureDate': '2019-12-06T00:00:00'}",2019-07-22T19:06:00,6,[1276],2019-12-06T00:00:00,42795,40924
False,609.0,"{'CarrierIds': [1467], 'OriginId': 40924, 'DestinationId': 42795, 'DepartureDate': '2019-12-08T00:00:00'}",2019-07-24T08:19:00,7,[1467],2019-12-08T00:00:00,42795,40924
