CityId,CityName,CountryName,IataCode,Name,PlaceId,SkyscannerCode,Type
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
HKGA,Hong Kong,Hong Kong,HKG,Hong Kong International,56615,HKG,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
BKKT,Bangkok,Thailand,BKK,Bangkok Suvarnabhumi,42795,BKK,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
LOND,London,United Kingdom,LHR,London Heathrow,65698,LHR,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
SINS,Singapore,Singapore,SIN,Singapore Changi,81870,SIN,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
DXBA,Dubai,United Arab Emirates,DXB,Dubai,48018,DXB,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
PARI,Paris,France,CDG,Paris Charles de Gaulle,44759,CDG,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
KULM,Kuala Lumpur,Malaysia,KUL,Kuala Lumpur International,64012,KUL,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
ROME,Rome,Italy,FCO,Rome Fiumicino,51631,FCO,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
TYOA,Tokyo,Japan,NRT,Tokyo Narita,70788,NRT,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
TPET,Taipei,Taiwan,TPE,Taipei Taiwan Taoyuan,84501,TPE,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
ISTA,Istanbul,Turkey,IST,Istanbul,59316,IST,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
SELA,Seoul,South Korea,ICN,Seoul Incheon Int'l,58542,ICN,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
CSHA,Shanghai,China,PVG,Shanghai Pu Dong,75575,PVG,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
LASA,Las Vegas,United States,LAS,Las Vegas Mccarran,65363,LAS,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
MILA,Milan,Italy,MXP,Milan Malpensa,68768,MXP,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
OSAA,Osaka,Japan,KIX,Osaka Kansai International,63448,KIX,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
BERL,Berlin,Germany,TXL,Berlin Tegel,84892,TXL,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
JNBA,Johannesburg,South Africa,JNB,Johannesburg O.R. Tambo,61362,JNB,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
VENI,Venice,Italy,VCE,Venice Marco Polo,88485,VCE,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
ORLB,Orlando,United States,MCO,Orlando International,67759,MCO,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
MOSC,Moscow,Russia,VKO,Moscow Vnukovo,88879,VKO,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
BJSA,Beijing,China,PEK,Beijing Capital,74763,PEK,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
YTOA,Toronto,Canada,YYZ,Toronto Pearson International,96474,YYZ,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
HANN,Hannover,Germany,HAJ,Hannover,56138,HAJ,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
SYDA,Sydney,Australia,SYD,Sydney,82628,SYD,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
UIOA,Quito,Ecuador,UIO,Quito,86479,UIO,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
LGBA,Long Beach,United States,LGB,Long Beach Municipal,65634,LGB,Station
ATLA,Atlanta,United States,ATL,Atlanta Hartsfield-Jackson,40924,ATL,Station
JNBA,Johannesburg,South Africa,JNB,Johannesburg O.R. Tambo,61362,JNB,Station
