CityId,CityName,CountryName,IataCode,Name,PlaceId,SkyscannerCode,Type
HKGA,Hong Kong,Hong Kong,HKG,Hong Kong International,56615,HKG,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
BKKT,Bangkok,Thailand,BKK,Bangkok Suvarnabhumi,42795,BKK,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
LOND,London,United Kingdom,LHR,London Heathrow,65698,LHR,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
SINS,Singapore,Singapore,SIN,Singapore Changi,81870,SIN,Station
DXBA,Dubai,United Arab Emirates,DXB,Dubai,48018,DXB,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
PARI,Paris,France,CDG,Paris Charles de Gaulle,44759,CDG,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
KULM,Kuala Lumpur,Malaysia,KUL,Kuala Lumpur International,64012,KUL,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
ROME,Rome,Italy,FCO,Rome Fiumicino,51631,FCO,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
TYOA,Tokyo,Japan,NRT,Tokyo Narita,70788,NRT,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
TPET,Taipei,Taiwan,TPE,Taipei Taiwan Taoyuan,84501,TPE,Station
ISTA,Istanbul,Turkey,IST,Istanbul,59316,IST,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
SELA,Seoul,South Korea,ICN,Seoul Incheon Int'l,58542,ICN,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
CSHA,Shanghai,China,PVG,Shanghai Pu Dong,75575,PVG,Station
LASA,Las Vegas,United States,LAS,Las Vegas Mccarran,65363,LAS,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
MILA,Milan,Italy,MXP,Milan Malpensa,68768,MXP,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
OSAA,Osaka,Japan,KIX,Osaka Kansai International,63448,KIX,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
CHIA,Chicago,United States,ORD,Chicago O'Hare International,73076,ORD,Station
BERL,Berlin,Germany,TXL,Berlin Tegel,84892,TXL,Station
