City ID,City Name,Airport Name,Iata Code,Country Name
56615,Hong Kong,Hong Kong International,HKG,Hong Kong
73076,Chicago,Chicago O'Hare International,ORD,United States
42795,Bangkok,Bangkok Suvarnabhumi,BKK,Thailand
73076,Chicago,Chicago O'Hare International,ORD,United States
65698,London,London Heathrow,LHR,United Kingdom
73076,Chicago,Chicago O'Hare International,ORD,United States
73076,Chicago,Chicago O'Hare International,ORD,United States
81870,Singapore,Singapore Changi,SIN,Singapore
48018,Dubai,Dubai,DXB,United Arab Emirates
73076,Chicago,Chicago O'Hare International,ORD,United States
44759,Paris,Paris Charles de Gaulle,CDG,France
73076,Chicago,Chicago O'Hare International,ORD,United States
60987,New York,New York John F. Kennedy,JFK,United States
73076,Chicago,Chicago O'Hare International,ORD,United States
51631,Rome,Rome Fiumicino,FCO,Italy
73076,Chicago,Chicago O'Hare International,ORD,United States
70788,Tokyo,Tokyo Narita,NRT,Japan
73076,Chicago,Chicago O'Hare International,ORD,United States
73076,Chicago,Chicago O'Hare International,ORD,United States
84501,Taipei,Taipei Taiwan Taoyuan,TPE,Taiwan
59316,Istanbul,Istanbul,IST,Turkey
73076,Chicago,Chicago O'Hare International,ORD,United States
73076,Chicago,Chicago O'Hare International,ORD,United States
75575,Shanghai,Shanghai Pu Dong,PVG,China
68768,Milan,Milan Malpensa,MXP,Italy
73076,Chicago,Chicago O'Hare International,ORD,United States
65368,Los Angeles,Los Angeles International,LAX,United States
73076,Chicago,Chicago O'Hare International,ORD,United States
63448,Osaka,Osaka Kansai International,KIX,Japan
73076,Chicago,Chicago O'Hare International,ORD,United States
73076,Chicago,Chicago O'Hare International,ORD,United States
84892,Berlin,Berlin Tegel,TXL,Germany
61362,Johannesburg,Johannesburg O.R. Tambo,JNB,South Africa
73076,Chicago,Chicago O'Hare International,ORD,United States
73076,Chicago,Chicago O'Hare International,ORD,United States
88485,Venice,Venice Marco Polo,VCE,Italy
67759,Orlando,Orlando International,MCO,United States
73076,Chicago,Chicago O'Hare International,ORD,United States
73076,Chicago,Chicago O'Hare International,ORD,United States
88879,Moscow,Moscow Vnukovo,VKO,Russia
73076,Chicago,Chicago O'Hare International,ORD,United States
74763,Beijing,Beijing Capital,PEK,China
73076,Chicago,Chicago O'Hare International,ORD,United States
96474,Toronto,Toronto Pearson International,YYZ,Canada
56138,Hannover,Hannover,HAJ,Germany
73076,Chicago,Chicago O'Hare International,ORD,United States
73076,Chicago,Chicago O'Hare International,ORD,United States
82628,Sydney,Sydney,SYD,Australia
73076,Chicago,Chicago O'Hare International,ORD,United States
86479,Quito,Quito,UIO,Ecuador
65634,Long Beach,Long Beach Municipal,LGB,United States
73076,Chicago,Chicago O'Hare International,ORD,United States
61362,Johannesburg,Johannesburg O.R. Tambo,JNB,South Africa
73076,Chicago,Chicago O'Hare International,ORD,United States
45336,Copenhagen,Copenhagen,CPH,Denmark
73076,Chicago,Chicago O'Hare International,ORD,United States
73076,Chicago,Chicago O'Hare International,ORD,United States
91273,Nowy Dwor Mazowiecki,Warsaw Modlin,WMI,Poland
67852,Melbourne,Melbourne Tullamarine,MEL,Australia
73076,Chicago,Chicago O'Hare International,ORD,United States
73076,Chicago,Chicago O'Hare International,ORD,United States
84326,Tel Aviv,Ben Gurion Intl,TLV,Israel
50101,Essaouira,Essaouira,ESU,Morocco
73076,Chicago,Chicago O'Hare International,ORD,United States
43141,Brussels,Brussels International,BRU,Belgium
73076,Chicago,Chicago O'Hare International,ORD,United States
40492,Auckland,Auckland International,AKL,New Zealand
73076,Chicago,Chicago O'Hare International,ORD,United States
44907,Jakarta,Soekarno-Hatta,CGK,Indonesia
73076,Chicago,Chicago O'Hare International,ORD,United States
52337,Frankfurt,Frankfurt am Main,FRA,Germany
73076,Chicago,Chicago O'Hare International,ORD,United States
40830,Stockholm,Stockholm Arlanda,ARN,Sweden
73076,Chicago,Chicago O'Hare International,ORD,United States
54215,Rio De Janeiro,Rio De Janeiro Internacional,GIG,Brazil
73076,Chicago,Chicago O'Hare International,ORD,United States
50421,Buenos Aires,Buenos Aires Ministro Pistarini,EZE,Argentina
73076,Chicago,Chicago O'Hare International,ORD,United States
40065,Albuquerque,Albuquerque,ABQ,United States
73076,Chicago,Chicago O'Hare International,ORD,United States
73076,Chicago,Chicago O'Hare International,ORD,United States
96268,Montreal,Montreal Pierre Elliott Trudeau,YUL,Canada
73076,Chicago,Chicago O'Hare International,ORD,United States
75572,Providence,Providence,PVD,United States
40968,Abu Dhabi,Abu Dhabi International,AUH,United Arab Emirates
73076,Chicago,Chicago O'Hare International,ORD,United States
45186,Colombo,Colombo Bandaranayake,CMB,Sri Lanka
73076,Chicago,Chicago O'Hare International,ORD,United States
47009,Washington,Washington Ronald Reagan,DCA,United States
73076,Chicago,Chicago O'Hare International,ORD,United States
