CityId,CityName,CountryName,IataCode,Name,PlaceId,SkyscannerCode,Type
HKGA,Hong Kong,Hong Kong,HKG,Hong Kong International,56615,HKG,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
BKKT,Bangkok,Thailand,BKK,Bangkok Suvarnabhumi,42795,BKK,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
LOND,London,United Kingdom,LHR,London Heathrow,65698,LHR,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
SINS,Singapore,Singapore,SIN,Singapore Changi,81870,SIN,Station
DXBA,Dubai,United Arab Emirates,DXB,Dubai,48018,DXB,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
PARI,Paris,France,CDG,Paris Charles de Gaulle,44759,CDG,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
KULM,Kuala Lumpur,Malaysia,KUL,Kuala Lumpur International,64012,KUL,Station
ROME,Rome,Italy,FCO,Rome Fiumicino,51631,FCO,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
TYOA,Tokyo,Japan,NRT,Tokyo Narita,70788,NRT,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
TPET,Taipei,Taiwan,TPE,Taipei Taiwan Taoyuan,84501,TPE,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
ISTA,Istanbul,Turkey,IST,Istanbul,59316,IST,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
SELA,Seoul,South Korea,ICN,Seoul Incheon Int'l,58542,ICN,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
CSHA,Shanghai,China,PVG,Shanghai Pu Dong,75575,PVG,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
LASA,Las Vegas,United States,LAS,Las Vegas Mccarran,65363,LAS,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
MILA,Milan,Italy,MXP,Milan Malpensa,68768,MXP,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
OSAA,Osaka,Japan,KIX,Osaka Kansai International,63448,KIX,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
BERL,Berlin,Germany,TXL,Berlin Tegel,84892,TXL,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
JNBA,Johannesburg,South Africa,JNB,Johannesburg O.R. Tambo,61362,JNB,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
VENI,Venice,Italy,VCE,Venice Marco Polo,88485,VCE,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
ORLB,Orlando,United States,MCO,Orlando International,67759,MCO,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
MOSC,Moscow,Russia,VKO,Moscow Vnukovo,88879,VKO,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
BJSA,Beijing,China,PEK,Beijing Capital,74763,PEK,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
YTOA,Toronto,Canada,YYZ,Toronto Pearson International,96474,YYZ,Station
HANN,Hannover,Germany,HAJ,Hannover,56138,HAJ,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
SYDA,Sydney,Australia,SYD,Sydney,82628,SYD,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
UIOA,Quito,Ecuador,UIO,Quito,86479,UIO,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
LGBA,Long Beach,United States,LGB,Long Beach Municipal,65634,LGB,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
JNBA,Johannesburg,South Africa,JNB,Johannesburg O.R. Tambo,61362,JNB,Station
COPE,Copenhagen,Denmark,CPH,Copenhagen,45336,CPH,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
MELA,Melbourne,Australia,MEL,Melbourne Tullamarine,67852,MEL,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
TELA,Tel Aviv,Israel,TLV,Ben Gurion Intl,84326,TLV,Station
BRUS,Brussels,Belgium,BRU,Brussels International,43141,BRU,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
AKLN,Auckland,New Zealand,AKL,Auckland International,40492,AKL,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
YVRA,Vancouver,Canada,YVR,Vancouver International,96322,YVR,Station
CGKI,Jakarta,Indonesia,CGK,Soekarno-Hatta,44907,CGK,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
FRAN,Frankfurt,Germany,FRA,Frankfurt am Main,52337,FRA,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
STOC,Stockholm,Sweden,ARN,Stockholm Arlanda,40830,ARN,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
RIOA,Rio De Janeiro,Brazil,GIG,Rio De Janeiro Internacional,54215,GIG,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
BUEA,Buenos Aires,Argentina,EZE,Buenos Aires Ministro Pistarini,50421,EZE,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
ABQA,Albuquerque,United States,ABQ,Albuquerque,40065,ABQ,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
YMQA,Montreal,Canada,YUL,Montreal Pierre Elliott Trudeau,96268,YUL,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
PVDA,Providence,United States,PVD,Providence,75572,PVD,Station
AUHA,Abu Dhabi,United Arab Emirates,AUH,Abu Dhabi International,40968,AUH,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
CMBA,Colombo,Sri Lanka,CMB,Colombo Bandaranayake,45186,CMB,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
WASA,Washington,United States,DCA,Washington Ronald Reagan,47009,DCA,Station
HOUA,Houston,United States,IAH,Houston George Bush Intercntl.,58440,IAH,Station
