CarrierId,Name
898,EVA Air
937,China Airlines
952,Cathay Pacific
954,China Southern
1192,Hong Kong Airlines
1276,Japan Airlines
1317,Korean Air
1414,Xiamen Airlines
1530,Asiana Airlines
1717,Aeroflot
181,Sichuan Airlines
833,American Airlines
857,Finnair
898,EVA Air
929,Air China
937,China Airlines
1192,Hong Kong Airlines
1276,Japan Airlines
838,Air France
857,Finnair
881,British Airways
929,Air China
954,China Southern
1001,Norwegian
1033,Aer Lingus
1218,Iberia
1324,KLM
1384,SWISS
1482,Air New Zealand
1523,Austrian Airlines
1530,Asiana Airlines
1710,Brussels Airlines
1713,Singapore Airlines
1717,Aeroflot
1859,Virgin Atlantic
929,Air China
937,China Airlines
1276,Japan Airlines
1317,Korean Air
1324,KLM
1414,Xiamen Airlines
1713,Singapore Airlines
1793,United
1414,Xiamen Airlines
870,jetBlue
929,Air China
952,Cathay Pacific
1001,Norwegian
1035,Emirates
1717,Aeroflot
1001,Norwegian
1758,Air Tahiti Nui
833,American Airlines
851,Alaska Airlines
870,jetBlue
988,Delta
898,EVA Air
929,Air China
937,China Airlines
1189,Hainan Airlines
1276,Japan Airlines
1414,Xiamen Airlines
858,Alitalia
1001,Norwegian
1717,Aeroflot
1755,Turkish Airlines
851,Alaska Airlines
857,Finnair
988,Delta
1001,Norwegian
1192,Hong Kong Airlines
1276,Japan Airlines
1317,Korean Air
1530,Asiana Airlines
1713,Singapore Airlines
835,Air Canada
898,EVA Air
929,Air China
937,China Airlines
952,Cathay Pacific
1192,Hong Kong Airlines
1276,Japan Airlines
1414,Xiamen Airlines
1530,Asiana Airlines
1793,United
981,Condor
1001,Norwegian
1368,Lufthansa
1618,Qatar Airways
1717,Aeroflot
1755,Turkish Airlines
181,Sichuan Airlines
929,Air China
937,China Airlines
954,China Southern
988,Delta
1192,Hong Kong Airlines
1317,Korean Air
1414,Xiamen Airlines
1429,China Eastern
1530,Asiana Airlines
1717,Aeroflot
833,American Airlines
851,Alaska Airlines
854,Avianca (Scheduled)
898,EVA Air
929,Air China
988,Delta
1189,Hainan Airlines
1192,Hong Kong Airlines
1384,SWISS
1429,China Eastern
1482,Air New Zealand
1530,Asiana Airlines
1717,Aeroflot
1793,United
1907,WestJet
833,American Airlines
851,Alaska Airlines
988,Delta
1065,Frontier Airlines
1721,Sun Country Airlines
851,Alaska Airlines
981,Condor
1001,Norwegian
1707,SAS
1717,Aeroflot
1760,TAP
937,China Airlines
988,Delta
1169,Hawaiian Airlines
1192,Hong Kong Airlines
1276,Japan Airlines
1317,Korean Air
1464,ANA
1530,Asiana Airlines
1907,WestJet
851,Alaska Airlines
981,Condor
1001,Norwegian
1755,Turkish Airlines
870,jetBlue
952,Cathay Pacific
1044,Ethiopian Airlines
1049,Etihad Airways
1218,Iberia
1618,Qatar Airways
838,Air France
981,Condor
1001,Norwegian
833,American Airlines
851,Alaska Airlines
870,jetBlue
988,Delta
1065,Frontier Airlines
1467,Spirit Airlines
1793,United
851,Alaska Airlines
1001,Norwegian
1755,Turkish Airlines
833,American Airlines
988,Delta
1416,Malaysia Airlines
1606,Qantas
1658,Royal Jordanian
1793,United
1907,WestJet
1001,Norwegian
1713,Singapore Airlines
1755,Turkish Airlines
937,China Airlines
1082,Fiji Airways
1169,Hawaiian Airlines
1368,Lufthansa
1414,Xiamen Airlines
1482,Air New Zealand
1606,Qantas
1841,Virgin Australia
851,Alaska Airlines
854,Avianca (Scheduled)
870,jetBlue
941,Copa
1467,Spirit Airlines
1793,United
870,jetBlue
1721,Sun Country Airlines
