CityId,CityName,CountryName,IataCode,Name,PlaceId,SkyscannerCode,Type
HKGA,Hong Kong,Hong Kong,HKG,Hong Kong International,56615,HKG,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
BKKT,Bangkok,Thailand,BKK,Bangkok Suvarnabhumi,42795,BKK,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
LOND,London,United Kingdom,LHR,London Heathrow,65698,LHR,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
SINS,Singapore,Singapore,SIN,Singapore Changi,81870,SIN,Station
DXBA,Dubai,United Arab Emirates,DXB,Dubai,48018,DXB,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
PARI,Paris,France,CDG,Paris Charles de Gaulle,44759,CDG,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
KULM,Kuala Lumpur,Malaysia,KUL,Kuala Lumpur International,64012,KUL,Station
ROME,Rome,Italy,FCO,Rome Fiumicino,51631,FCO,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
TYOA,Tokyo,Japan,NRT,Tokyo Narita,70788,NRT,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
TPET,Taipei,Taiwan,TPE,Taipei Taiwan Taoyuan,84501,TPE,Station
ISTA,Istanbul,Turkey,IST,Istanbul,59316,IST,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
SELA,Seoul,South Korea,ICN,Seoul Incheon Int'l,58542,ICN,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
CSHA,Shanghai,China,PVG,Shanghai Pu Dong,75575,PVG,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
LASA,Las Vegas,United States,LAS,Las Vegas Mccarran,65363,LAS,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
MILA,Milan,Italy,MXP,Milan Malpensa,68768,MXP,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
OSAA,Osaka,Japan,KIX,Osaka Kansai International,63448,KIX,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
BERL,Berlin,Germany,TXL,Berlin Tegel,84892,TXL,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
JNBA,Johannesburg,South Africa,JNB,Johannesburg O.R. Tambo,61362,JNB,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
VENI,Venice,Italy,VCE,Venice Marco Polo,88485,VCE,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
ORLB,Orlando,United States,MCO,Orlando International,67759,MCO,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
CLUZ,Lublin,Poland,LUZ,Lublin,66330,LUZ,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
MOSC,Moscow,Russia,VKO,Moscow Vnukovo,88879,VKO,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
BJSA,Beijing,China,PEK,Beijing Capital,74763,PEK,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
YTOA,Toronto,Canada,YYZ,Toronto Pearson International,96474,YYZ,Station
HANN,Hannover,Germany,HAJ,Hannover,56138,HAJ,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
SYDA,Sydney,Australia,SYD,Sydney,82628,SYD,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
UIOA,Quito,Ecuador,UIO,Quito,86479,UIO,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
LGBA,Long Beach,United States,LGB,Long Beach Municipal,65634,LGB,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
JNBA,Johannesburg,South Africa,JNB,Johannesburg O.R. Tambo,61362,JNB,Station
COPE,Copenhagen,Denmark,CPH,Copenhagen,45336,CPH,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
CEIT,Chiang Rai,Thailand,CEI,Chiang Rai,44809,CEI,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
WMIP,Nowy Dwor Mazowiecki,Poland,WMI,Warsaw Modlin,91273,WMI,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
MELA,Melbourne,Australia,MEL,Melbourne Tullamarine,67852,MEL,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
TELA,Tel Aviv,Israel,TLV,Ben Gurion Intl,84326,TLV,Station
BRUS,Brussels,Belgium,BRU,Brussels International,43141,BRU,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
AKLN,Auckland,New Zealand,AKL,Auckland International,40492,AKL,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
YVRA,Vancouver,Canada,YVR,Vancouver International,96322,YVR,Station
CGKI,Jakarta,Indonesia,CGK,Soekarno-Hatta,44907,CGK,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
FRAN,Frankfurt,Germany,FRA,Frankfurt am Main,52337,FRA,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
STOC,Stockholm,Sweden,ARN,Stockholm Arlanda,40830,ARN,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
RIOA,Rio De Janeiro,Brazil,GIG,Rio De Janeiro Internacional,54215,GIG,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
BUEA,Buenos Aires,Argentina,EZE,Buenos Aires Ministro Pistarini,50421,EZE,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
ERCA,Tymbou,Cyprus,ECN,Ercan,49326,ECN,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
ABQA,Albuquerque,United States,ABQ,Albuquerque,40065,ABQ,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
YMQA,Montreal,Canada,YUL,Montreal Pierre Elliott Trudeau,96268,YUL,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
PVDA,Providence,United States,PVD,Providence,75572,PVD,Station
AUHA,Abu Dhabi,United Arab Emirates,AUH,Abu Dhabi International,40968,AUH,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
CMBA,Colombo,Sri Lanka,CMB,Colombo Bandaranayake,45186,CMB,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
WASA,Washington,United States,DCA,Washington Ronald Reagan,47009,DCA,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
