CarrierId,Name
851,Alaska Airlines
898,EVA Air
952,Cathay Pacific
1276,Japan Airlines
1317,Korean Air
1324,KLM
1530,Asiana Airlines
1793,United
851,Alaska Airlines
898,EVA Air
1276,Japan Airlines
1317,Korean Air
1429,China Eastern
1464,ANA
1713,Singapore Airlines
838,Air France
851,Alaska Airlines
857,Finnair
858,Alitalia
941,Copa
981,Condor
1033,Aer Lingus
1081,Icelandair
1218,Iberia
1324,KLM
1368,Lufthansa
1482,Air New Zealand
1523,Austrian Airlines
1859,Virgin Atlantic
851,Alaska Airlines
898,EVA Air
988,Delta
1276,Japan Airlines
1317,Korean Air
1713,Singapore Airlines
1793,United
851,Alaska Airlines
870,jetBlue
952,Cathay Pacific
1035,Emirates
1324,KLM
1907,WestJet
838,Air France
851,Alaska Airlines
870,jetBlue
981,Condor
1033,Aer Lingus
1081,Icelandair
1324,KLM
83896,flythomascook
1902,Southwest Airlines
833,American Airlines
851,Alaska Airlines
870,jetBlue
988,Delta
898,EVA Air
1618,Qatar Airways
833,American Airlines
851,Alaska Airlines
858,Alitalia
981,Condor
1033,Aer Lingus
1324,KLM
833,American Airlines
851,Alaska Airlines
898,EVA Air
952,Cathay Pacific
988,Delta
1276,Japan Airlines
1317,Korean Air
1324,KLM
1464,ANA
1482,Air New Zealand
1530,Asiana Airlines
835,Air Canada
851,Alaska Airlines
898,EVA Air
952,Cathay Pacific
1530,Asiana Airlines
851,Alaska Airlines
870,jetBlue
1324,KLM
1368,Lufthansa
1755,Turkish Airlines
833,American Airlines
851,Alaska Airlines
898,EVA Air
988,Delta
1317,Korean Air
1429,China Eastern
1530,Asiana Airlines
929,Air China
952,Cathay Pacific
988,Delta
1793,United
851,Alaska Airlines
988,Delta
1065,Frontier Airlines
1467,Spirit Airlines
833,American Airlines
851,Alaska Airlines
858,Alitalia
870,jetBlue
981,Condor
1368,Lufthansa
1793,United
833,American Airlines
851,Alaska Airlines
988,Delta
1467,Spirit Airlines
1793,United
898,EVA Air
988,Delta
1276,Japan Airlines
1317,Korean Air
1530,Asiana Airlines
1793,United
851,Alaska Airlines
981,Condor
1033,Aer Lingus
1081,Icelandair
1713,Singapore Airlines
952,Cathay Pacific
1044,Ethiopian Airlines
1218,Iberia
851,Alaska Airlines
870,jetBlue
1368,Lufthansa
833,American Airlines
851,Alaska Airlines
988,Delta
1065,Frontier Airlines
1467,Spirit Airlines
1721,Sun Country Airlines
1793,United
1902,Southwest Airlines
851,Alaska Airlines
851,Alaska Airlines
833,American Airlines
898,EVA Air
954,China Southern
988,Delta
1189,Hainan Airlines
1276,Japan Airlines
1793,United
833,American Airlines
835,Air Canada
1755,Turkish Airlines
1793,United
1907,WestJet
851,Alaska Airlines
952,Cathay Pacific
1169,Hawaiian Airlines
1429,China Eastern
1464,ANA
1482,Air New Zealand
1530,Asiana Airlines
851,Alaska Airlines
870,jetBlue
1793,United
870,jetBlue
988,Delta
952,Cathay Pacific
1044,Ethiopian Airlines
1218,Iberia
851,Alaska Airlines
870,jetBlue
1081,Icelandair
851,Alaska Airlines
952,Cathay Pacific
1276,Japan Airlines
1429,China Eastern
1713,Singapore Airlines
1793,United
851,Alaska Airlines
857,Finnair
881,British Airways
981,Condor
1710,Brussels Airlines
851,Alaska Airlines
870,jetBlue
1081,Icelandair
83896,flythomascook
851,Alaska Airlines
952,Cathay Pacific
1082,Fiji Airways
1169,Hawaiian Airlines
1429,China Eastern
838,Air France
851,Alaska Airlines
988,Delta
1907,WestJet
952,Cathay Pacific
1169,Hawaiian Airlines
1276,Japan Airlines
851,Alaska Airlines
981,Condor
1368,Lufthansa
1713,Singapore Airlines
1760,TAP
1793,United
838,Air France
851,Alaska Airlines
857,Finnair
988,Delta
1081,Icelandair
835,Air Canada
851,Alaska Airlines
870,jetBlue
835,Air Canada
851,Alaska Airlines
870,jetBlue
941,Copa
833,American Airlines
988,Delta
1793,United
1126,Gulf Air
1793,United
1907,WestJet
881,British Airways
1324,KLM
833,American Airlines
851,Alaska Airlines
870,jetBlue
988,Delta
1793,United
