CityId,CityName,CountryName,IataCode,Name,PlaceId,SkyscannerCode,Type
HKGA,Hong Kong,Hong Kong,HKG,Hong Kong International,56615,HKG,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
BKKT,Bangkok,Thailand,BKK,Bangkok Suvarnabhumi,42795,BKK,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
LOND,London,United Kingdom,LHR,London Heathrow,65698,LHR,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
SINS,Singapore,Singapore,SIN,Singapore Changi,81870,SIN,Station
DXBA,Dubai,United Arab Emirates,DXB,Dubai,48018,DXB,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
PARI,Paris,France,CDG,Paris Charles de Gaulle,44759,CDG,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
NYCA,New York,United States,JFK,New York John F. Kennedy,60987,JFK,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
KULM,Kuala Lumpur,Malaysia,KUL,Kuala Lumpur International,64012,KUL,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
ROME,Rome,Italy,FCO,Rome Fiumicino,51631,FCO,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
TYOA,Tokyo,Japan,NRT,Tokyo Narita,70788,NRT,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
TPET,Taipei,Taiwan,TPE,Taipei Taiwan Taoyuan,84501,TPE,Station
ISTA,Istanbul,Turkey,IST,Istanbul,59316,IST,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
SELA,Seoul,South Korea,ICN,Seoul Incheon Int'l,58542,ICN,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
CSHA,Shanghai,China,PVG,Shanghai Pu Dong,75575,PVG,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
LASA,Las Vegas,United States,LAS,Las Vegas Mccarran,65363,LAS,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
MILA,Milan,Italy,MXP,Milan Malpensa,68768,MXP,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
LAXA,Los Angeles,United States,LAX,Los Angeles International,65368,LAX,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
OSAA,Osaka,Japan,KIX,Osaka Kansai International,63448,KIX,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
BERL,Berlin,Germany,TXL,Berlin Tegel,84892,TXL,Station
JNBA,Johannesburg,South Africa,JNB,Johannesburg O.R. Tambo,61362,JNB,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
VENI,Venice,Italy,VCE,Venice Marco Polo,88485,VCE,Station
ORLB,Orlando,United States,MCO,Orlando International,67759,MCO,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
FLOA,Florence,United States,FLO,Florence,52063,FLO,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
MOSC,Moscow,Russia,VKO,Moscow Vnukovo,88879,VKO,Station
BJSA,Beijing,China,PEK,Beijing Capital,74763,PEK,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
YTOA,Toronto,Canada,YYZ,Toronto Pearson International,96474,YYZ,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
SYDA,Sydney,Australia,SYD,Sydney,82628,SYD,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
UIOA,Quito,Ecuador,UIO,Quito,86479,UIO,Station
LGBA,Long Beach,United States,LGB,Long Beach Municipal,65634,LGB,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
JNBA,Johannesburg,South Africa,JNB,Johannesburg O.R. Tambo,61362,JNB,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
COPE,Copenhagen,Denmark,CPH,Copenhagen,45336,CPH,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
MELA,Melbourne,Australia,MEL,Melbourne Tullamarine,67852,MEL,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
TELA,Tel Aviv,Israel,TLV,Ben Gurion Intl,84326,TLV,Station
BRUS,Brussels,Belgium,BRU,Brussels International,43141,BRU,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
AKLN,Auckland,New Zealand,AKL,Auckland International,40492,AKL,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
YVRA,Vancouver,Canada,YVR,Vancouver International,96322,YVR,Station
CGKI,Jakarta,Indonesia,CGK,Soekarno-Hatta,44907,CGK,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
FRAN,Frankfurt,Germany,FRA,Frankfurt am Main,52337,FRA,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
STOC,Stockholm,Sweden,ARN,Stockholm Arlanda,40830,ARN,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
RIOA,Rio De Janeiro,Brazil,GIG,Rio De Janeiro Internacional,54215,GIG,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
BUEA,Buenos Aires,Argentina,EZE,Buenos Aires Ministro Pistarini,50421,EZE,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
ABQA,Albuquerque,United States,ABQ,Albuquerque,40065,ABQ,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
YMQA,Montreal,Canada,YUL,Montreal Pierre Elliott Trudeau,96268,YUL,Station
AUHA,Abu Dhabi,United Arab Emirates,AUH,Abu Dhabi International,40968,AUH,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
WASA,Washington,United States,DCA,Washington Ronald Reagan,47009,DCA,Station
SEAA,Seattle,United States,SEA,Seattle / Tacoma International,81665,SEA,Station
