Airport Name,Airport Code,City Name
Seoul Incheon Int'l,ICN-sky,Seoul Incheon Int'l
Sao Paulo Guarulhos,GRU-sky,Sao Paulo Guarulhos
Istanbul,IST-sky,Istanbul
Chicago O'Hare International,ORD-sky,Chicago O'Hare International
Durban King Shaka International,DUR-sky,Durban King Shaka International
Mangalore,IXE-sky,Mangalore
Hyderabad,HDD-sky,Hyderabad
Santiago,SCLA-sky,Santiago
Quito,UIO-sky,Quito
Maamigili Island,VAM-sky,Maamigili Island
Dallas Fort Worth International,DFW-sky,Dallas Fort Worth International
Singapore Changi,SIN-sky,Singapore Changi
Zhoubai Airport,JIQ-sky,Zhoubai Airport
Nanning,NNG-sky,Nanning
Barcelona,BLA-sky,Barcelona
Puning,CDE-sky,Puning
Sydney,SYD-sky,Sydney
Changzhou,CZX-sky,Changzhou
Raipur,RPR-sky,Raipur
Changsha,CSX-sky,Changsha
Frankfurt am Main,FRA-sky,Frankfurt am Main
Nanchong,NAO-sky,Nanchong
Birmingham,BHM-sky,Birmingham
Manchester,MHT-sky,Manchester
Kita Kyushu,KKJ-sky,Kita Kyushu
Los Angeles,LAXA-sky,Los Angeles
Dubai,DXB-sky,Dubai
Seville,SVQ-sky,Seville
Wugang,WGN-sky,Wugang
Xuzhou,XUZ-sky,Xuzhou
Ganzhou,KOW-sky,Ganzhou
Nanchang,KHN-sky,Nanchang
Nanking / Nanjing,NKG-sky,Nanking / Nanjing
Fuzhou,FOC-sky,Fuzhou
Hebei Handan,HDG-sky,Hebei Handan
Suzhou,SZV-sky,Suzhou
Luanda,LAD-sky,Luanda
An Shun,AVA-sky,An Shun
Taipei,TPET-sky,Taipei
Tripoli,TIP-sky,Tripoli
Loyangalani,LOY-sky,Loyangalani
Jiujiang,JIU-sky,Jiujiang
Mian Yang,MIG-sky,Mian Yang
Xi An Xianyang,XIY-sky,Xi An Xianyang
Charlotte Douglas,CLT-sky,Charlotte Douglas
Asuncion,ASU-sky,Asuncion
Kochi,KCZ-sky,Kochi
Bursa,YEI-sky,Bursa
Monterrey Gen Mariano Escobedo,MTY-sky,Monterrey Gen Mariano Escobedo
Surat Thani,URT-sky,Surat Thani
Luzhou,LZO-sky,Luzhou
Nur-Sultan,TSE-sky,Nur-Sultan
Yun Cheng,YCU-sky,Yun Cheng
Xichang,XIC-sky,Xichang
Huai'an Lianshui Airport,HIA-sky,Huai'an Lianshui Airport
Hangzhou,HGH-sky,Hangzhou
Ulaanbaatar,ULN-sky,Ulaanbaatar
Wuxi,WUX-sky,Wuxi
Krivoy Rog,KWG-sky,Krivoy Rog
Benin City,BNI-sky,Benin City
Mumbai,BOM-sky,Mumbai
Liuzhou,LZH-sky,Liuzhou
Yangzhou Taizhou Airport,YTY-sky,Yangzhou Taizhou Airport
Xingyi,ACX-sky,Xingyi
Kolkata,CCU-sky,Kolkata
Merida,MRD-sky,Merida
Adelaide,ADL-sky,Adelaide
Rabat,RBA-sky,Rabat
Harbin,HRB-sky,Harbin
Nanyang,NNY-sky,Nanyang
Errachidia,ERH-sky,Errachidia
Changbaishan,NBS-sky,Changbaishan
La Paz,LAP-sky,La Paz
Bogota,BOG-sky,Bogota
Nairobi,NBOA-sky,Nairobi
Yining,YIN-sky,Yining
Vilnius,VNO-sky,Vilnius
Dublin,DUB-sky,Dublin
Urumqi,URC-sky,Urumqi
Minggang,XAI-sky,Minggang
Malaga,AGP-sky,Malaga
Anshan,AOG-sky,Anshan
Ningbo,NGB-sky,Ningbo
Pyongyang,FNJ-sky,Pyongyang
Salekhard,SLY-sky,Salekhard
Izmir,ADB-sky,Izmir
Liping City,HZH-sky,Liping City
Riyadh,RUH-sky,Riyadh
Montreal,YMQA-sky,Montreal
Port Harcourt,PHC-sky,Port Harcourt
Jaipur,JAI-sky,Jaipur
Zhanjiang,ZHA-sky,Zhanjiang
Zunyi,ZYI-sky,Zunyi
Amsterdam,AMS-sky,Amsterdam
Puebla,PBC-sky,Puebla
Yichang,YIH-sky,Yichang
Beihai,BHY-sky,Beihai
Chaoyang,CHG-sky,Chaoyang
Yancheng,YNZ-sky,Yancheng
Guiyang,KWE-sky,Guiyang
Stuttgart,SGT-sky,Stuttgart
Zhengzhou,CGO-sky,Zhengzhou
Samarinda,SRI-sky,Samarinda
Weihai,WEH-sky,Weihai
Jinjiang,JJN-sky,Jinjiang
Bozoum,BOZ-sky,Bozoum
Antananarivo,TNR-sky,Antananarivo
Bangalore,BLR-sky,Bangalore
Kermanshah,KSH-sky,Kermanshah
Athens International,ATH-sky,Athens International
Novokuzinetsk,NOZ-sky,Novokuzinetsk
