Direct,MinPrice,OutboundLeg,QuoteDateTime,QuoteId,CarrierIds,DepartureDate,DestinationId,OriginId
False,458.0,"{'CarrierIds': [1276], 'OriginId': 58440, 'DestinationId': 56615, 'DepartureDate': '2019-12-01T00:00:00'}",2019-07-22T01:39:00,1,[1276],2019-12-01T00:00:00,56615,58440
False,711.0,"{'CarrierIds': [898], 'OriginId': 58440, 'DestinationId': 56615, 'DepartureDate': '2019-12-06T00:00:00'}",2019-07-15T07:40:00,2,[898],2019-12-06T00:00:00,56615,58440
False,704.0,"{'CarrierIds': [1324], 'OriginId': 58440, 'DestinationId': 56615, 'DepartureDate': '2019-12-11T00:00:00'}",2019-07-17T14:20:00,3,[1324],2019-12-11T00:00:00,56615,58440
False,689.0,"{'CarrierIds': [1065], 'OriginId': 58440, 'DestinationId': 56615, 'DepartureDate': '2019-12-12T00:00:00'}",2019-07-22T10:14:00,4,[1065],2019-12-12T00:00:00,56615,58440
False,924.0,"{'CarrierIds': [898], 'OriginId': 58440, 'DestinationId': 56615, 'DepartureDate': '2019-12-14T00:00:00'}",2019-07-22T10:14:00,5,[898],2019-12-14T00:00:00,56615,58440
False,1022.0,"{'CarrierIds': [1276], 'OriginId': 58440, 'DestinationId': 56615, 'DepartureDate': '2019-12-20T00:00:00'}",2019-07-22T18:26:00,6,[1276],2019-12-20T00:00:00,56615,58440
False,496.0,"{'CarrierIds': [835], 'OriginId': 58440, 'DestinationId': 56615, 'DepartureDate': '2019-12-25T00:00:00'}",2019-07-22T04:36:00,7,[835],2019-12-25T00:00:00,56615,58440
False,679.0,"{'CarrierIds': [898], 'OriginId': 58440, 'DestinationId': 56615, 'DepartureDate': '2019-12-26T00:00:00'}",2019-07-20T00:38:00,8,[898],2019-12-26T00:00:00,56615,58440
False,624.0,"{'CarrierIds': [835], 'OriginId': 58440, 'DestinationId': 56615, 'DepartureDate': '2019-12-27T00:00:00'}",2019-07-22T04:32:00,9,[835],2019-12-27T00:00:00,56615,58440
False,490.0,"{'CarrierIds': [929], 'OriginId': 58440, 'DestinationId': 56615, 'DepartureDate': '2019-12-31T00:00:00'}",2019-07-22T04:32:00,10,[929],2019-12-31T00:00:00,56615,58440
False,458.0,"{'CarrierIds': [1276], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-02T00:00:00'}",2019-07-18T21:53:00,1,[1276],2019-12-02T00:00:00,42795,58440
False,499.0,"{'CarrierIds': [1713], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-03T00:00:00'}",2019-07-21T14:29:00,2,[1713],2019-12-03T00:00:00,42795,58440
False,467.0,"{'CarrierIds': [1276], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-04T00:00:00'}",2019-07-18T17:47:00,3,[1276],2019-12-04T00:00:00,42795,58440
False,464.0,"{'CarrierIds': [1276], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-05T00:00:00'}",2019-07-18T17:45:00,4,[1276],2019-12-05T00:00:00,42795,58440
False,496.0,"{'CarrierIds': [1276], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-06T00:00:00'}",2019-07-18T17:43:00,5,[1276],2019-12-06T00:00:00,42795,58440
False,467.0,"{'CarrierIds': [1713], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-07T00:00:00'}",2019-07-18T17:47:00,6,[1713],2019-12-07T00:00:00,42795,58440
False,527.0,"{'CarrierIds': [898], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-08T00:00:00'}",2019-07-17T04:15:00,7,[898],2019-12-08T00:00:00,42795,58440
False,885.0,"{'CarrierIds': [929], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-09T00:00:00'}",2019-07-17T21:00:00,8,[929],2019-12-09T00:00:00,42795,58440
False,584.0,"{'CarrierIds': [898], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-10T00:00:00'}",2019-07-17T04:15:00,9,[898],2019-12-10T00:00:00,42795,58440
False,509.0,"{'CarrierIds': [1713], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-11T00:00:00'}",2019-07-20T18:10:00,10,[1713],2019-12-11T00:00:00,42795,58440
False,757.0,"{'CarrierIds': [898], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-12T00:00:00'}",2019-07-18T16:28:00,11,[898],2019-12-12T00:00:00,42795,58440
False,754.0,"{'CarrierIds': [952], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-13T00:00:00'}",2019-07-18T16:28:00,12,[952],2019-12-13T00:00:00,42795,58440
False,702.0,"{'CarrierIds': [954], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-14T00:00:00'}",2019-07-18T16:27:00,13,[954],2019-12-14T00:00:00,42795,58440
False,728.0,"{'CarrierIds': [954], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-15T00:00:00'}",2019-07-22T03:14:00,14,[954],2019-12-15T00:00:00,42795,58440
False,974.0,"{'CarrierIds': [898], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-16T00:00:00'}",2019-07-18T05:11:00,15,[898],2019-12-16T00:00:00,42795,58440
False,884.0,"{'CarrierIds': [1755], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-17T00:00:00'}",2019-07-21T15:13:00,16,[1755],2019-12-17T00:00:00,42795,58440
False,890.0,"{'CarrierIds': [1530], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-18T00:00:00'}",2019-07-21T23:15:00,17,[1530],2019-12-18T00:00:00,42795,58440
